,BIEN_SERVICIO,COSTO_BIEN,ESTADO_PROCESAL,ESTADO_UA,FECHA_FIN,FECHA_INGRESO,GIRO,ID_EXP,MEDIO_INGRESO,MODALIDAD_COMPRA,MODALIDAD_PAGO,MOTIVO_RECLAMACION,NOMBRE_COMERCIAL,PROBLEMA_ESPECIAL,PROCEDIMIENTO,PROVEEDOR,RECLAMADO,RECUPERADO,SECTOR,TIPO_CONCILIACION,TIPO_PRODUCTO,TIPO_RECLAMACION,UA
64,Servicio,22043.76,Conciliada,DISTRITO FEDERAL,07-04-2016,24-12-2015,Empresa de telefonía local,2015_139421,Personal,Imposición del proveedor,Plazos,Producto o servicio no solicitado o autorizado,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,22043.76,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Producto nuevo,Cobro indebido,Sur
65,Bien,8967.75,Conciliada,DISTRITO FEDERAL,25-04-2016,24-12-2015,Tienda especializada en productos electrónicos,2015_138061,Personal,En establecimiento físico,Contado,Defectos de fabricación,SAMSUNG ELECTRONICS,No problema especial,Queja,"SAMSUNG ELECTRONICS MEXICO, SA DE CV",0,0,TIENDA ESPECIALIZADA EN PRODUCTOS ELECTRÓNICOS,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
66,Servicio,369,Conciliada,DISTRITO FEDERAL,13-04-2016,23-12-2015,Empresa de telefonía celular,2015_139417,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",No problema especial,Queja,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",0,1845,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
67,Bien,8500,Conciliada,DISTRITO FEDERAL,06-04-2016,23-12-2015,Salón y clínica de belleza y peluquería,2015_132527,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,VICTORIA MONDRAGON LIMA,No problema especial,Queja,VICTORIA MONDRAGON LIMA,0,8500,SALÓN Y CLÍNICA DE BELLEZA Y PELUQUERÍA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
68,Bien,8500,Conciliada,DISTRITO FEDERAL,06-04-2016,23-12-2015,Salón y clínica de belleza y peluquería,2015_132527,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"TECHNOLOGY AND AESTHETIC MEDICINE, S DE RL DE CV",No problema especial,Queja,"TECHNOLOGY AND AESTHETIC MEDICINE, S DE RL DE CV",0,8500,SALÓN Y CLÍNICA DE BELLEZA Y PELUQUERÍA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
69,Servicio,8590,Conciliada,DISTRITO FEDERAL,30-03-2016,23-12-2015,Empresa de telefonía celular,2015_139414,Personal,Imposición del proveedor,Contado,Uso fraudulento,NEXTEL,No problema especial,Queja,"COMUNICACIONES NEXTEL DE MEXICO, SA DE CV",8590,8590,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
70,Bien,6188.01,Conciliada,DISTRITO FEDERAL,05-04-2016,23-12-2015,Óptica,2015_139416,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,DEVLYN,No problema especial,Queja,"OPTICAS DEVLYN, SA DE CV",6188.01,6188.01,ÓPTICA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Sur
71,Servicio,43541,Conciliada,DISTRITO FEDERAL,05-04-2016,23-12-2015,Suministrador de energía eléctrica,2015_139412,Personal,En establecimiento físico,Contado,Error de cálculo,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,44000,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
72,Bien,2050,Conciliada,DISTRITO FEDERAL,07-04-2016,23-12-2015,Plomero,2015_139413,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,RUBEN SUAREZ ARANA,No problema especial,Queja,RUBEN SUAREZ ARANA,1025,2050,PLOMERO,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Sur
73,Bien,2050,Conciliada,DISTRITO FEDERAL,07-04-2016,23-12-2015,Empresa especialista en sistemas de calefacción y climas,2015_139413,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,"CALENTADORES DE AMERICA, SA DE CV",No problema especial,Queja,"CALENTADORES DE AMERICA, SA DE CV",1025,2050,EMPRESA ESPECIALISTA EN SISTEMAS DE CALEFACCIÓN Y CLIMAS,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Sur
74,Servicio,900,Conciliada,DISTRITO FEDERAL,11-03-2016,23-12-2015,Taller de reparación de equipo de cómputo y bienes relacionados,2015_138058,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,HOSPITAL DE LAP TOPS Y COMPUTADORAS,No problema especial,Queja,HOSPITAL DE LAP TOPS Y COMPUTADORAS,0,900,TALLER DE REPARACIÓN DE EQUIPO DE CÓMPUTO Y BIENES RELACIONADOS,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Poniente
75,Bien,15695.87,Conciliada,DISTRITO FEDERAL,09-03-2016,23-12-2015,Empresa de telefonía local,2015_138046,Personal,Imposición del proveedor,Plazos,Uso fraudulento,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,4434.05,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Producto nuevo,Cobro indebido,Poniente
76,Bien,13999,Conciliada,DISTRITO FEDERAL,09-03-2016,23-12-2015,Tiendas de autoservicio,2015_138042,Personal,Por internet,Contado,Negativa a la entrega del producto o servicio,WAL MART,No problema especial,Queja,"NUEVA WAL MART DE MEXICO, S DE RL DE CV",13999,13999,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
77,Servicio,346,Conciliada,DISTRITO FEDERAL,13-04-2016,23-12-2015,Empresa de telefonía celular,2015_139418,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,IUSACELL,No problema especial,Queja,"IUSACELL, SA DE CV",0,1845,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
78,Servicio,369,Conciliada,DISTRITO FEDERAL,13-04-2016,23-12-2015,Empresa de telefonía celular,2015_139417,Personal,En establecimiento físico,Contado,Deficiencia en la reparación,IUSACELL,No problema especial,Queja,"IUSACELL, SA DE CV",0,1845,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
79,Servicio,389,Conciliada,DISTRITO FEDERAL,01-04-2016,23-12-2015,Empresa de telefonía local,2015_139415,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,365,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
80,Bien,1950.01,Conciliada,DISTRITO FEDERAL,04-07-2016,23-12-2015,Taller de reparación y mantenimiento de equipo electrónico,2015_139410,Personal,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,"RHEEM DE MEXICO, SA DE CV",No problema especial,Queja,"RHEEM DE MEXICO, SA DE CV",1950.01,1950.01,TALLER DE REPARACIÓN Y MANTENIMIENTO DE EQUIPO ELECTRÓNICO,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Sur
81,Servicio,14876.31,Conciliada,DISTRITO FEDERAL,05-07-2016,23-12-2015,"Agencia de investigación, protección y seguridad",2015_132524,Personal,En establecimiento físico,Contado,Negativa a la rescisión del contrato,ADT,No problema especial,Queja,"ADT PRIVATE SECURITY SERVICES DE MEXICO, SA DE CV",14876.31,14876.31,"AGENCIA DE INVESTIGACIÓN, PROTECCIÓN Y SEGURIDAD",Turnada a Concil Person p/seg,Servicio normal,Contratos,Centro
82,Bien,0,Conciliada,DISTRITO FEDERAL,26-04-2016,23-12-2015,Colocador de pisos flexibles y de madera,2015_132542,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"DECOR CITY DIVISION DECORACION, SA DE CV",No problema especial,Queja,"DECOR CITY DIVISION DECORACION, SA DE CV",0,18475,COLOCADOR DE PISOS FLEXIBLES Y DE MADERA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
83,Bien,0,Conciliada,DISTRITO FEDERAL,31-05-2016,23-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas usados,2015_132530,Personal,En establecimiento físico,Autofinanciamiento,Defectos de fabricación,FORD,No problema especial,Queja,"FORD MOTOR COMPANY, SA DE CV",0,0,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Centro
84,Bien,0,Conciliada,DISTRITO FEDERAL,31-05-2016,23-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_132530,Personal,En establecimiento físico,Autofinanciamiento,Defectos de fabricación,"CAMSA, SA DE CV",No problema especial,Queja,"CAMSA, SA DE CV",0,0,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Centro
85,Servicio,12000,Conciliada,DISTRITO FEDERAL,17-05-2016,23-12-2015,Agencias de viajes y servicios de reservaciones,2015_135859,Personal,En establecimiento físico,Plazos,Negativa a la entrega del producto o servicio,VACATION WORLD DE MEXICO,No problema especial,Queja,"VACATION WORLD DE MEXICO, SA DE CV",0,0,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,La Villa
86,Bien,8490,Conciliada,DISTRITO FEDERAL,02-06-2016,23-12-2015,Fabricación de electrodomésticos y línea blanca,2015_138054,Personal,En establecimiento físico,Contado,Defectos de fabricación,"HISENSE MEXICO, S DE RL DE CV",No problema especial,Queja,"HISENSE MEXICO, S DE RL DE CV",0,0,FABRICACIÓN DE ELECTRODOMÉSTICOS Y LÍNEA BLANCA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
87,Bien,6500,Conciliada,DISTRITO FEDERAL,13-05-2016,23-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_132526,Personal,Imposición del proveedor,Contado,Negativa a cambio o devolución,"SONI INSURGENTES, SA DE CV",No problema especial,Queja,"SONI INSURGENTES, SA DE CV",0,6500,AUTOMOTRIZ,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Centro
88,Servicio,346,Conciliada,DISTRITO FEDERAL,13-04-2016,23-12-2015,Empresa de telefonía celular,2015_139418,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",No problema especial,Queja,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",0,1845,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Sur
89,Bien,399,Conciliada,DISTRITO FEDERAL,30-09-2016,22-12-2015,Tienda de ropa,2015_137687,Escrito,En establecimiento físico,Contado,Negativa a hacer efectiva la garantía,"PULL &amp; BEAR MEXICO, SA DE CV",No problema especial,Queja,"PULL &amp; BEAR MEXICO, SA DE CV",399,399,TIENDA DE ROPA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Oriente
90,Servicio,51460.5,Conciliada,DISTRITO FEDERAL,19-12-2016,22-12-2015,Empresas de tiempo compartido,2015_139405,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"PLAYAS DE OCCIDENTE, SA DE CV",No problema especial,Queja,"PLAYAS DE OCCIDENTE, SA DE CV",51460.5,8000,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Sur
91,Servicio,51460.5,Conciliada,DISTRITO FEDERAL,19-12-2016,22-12-2015,Empresas de tiempo compartido,2015_139405,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"BUGAMBILIAS RESORT VACATION CLUB, SA DE CV",No problema especial,Queja,"BUGAMBILIAS RESORT VACATION CLUB, SA DE CV",51460.5,8000,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Sur
92,Bien,182000,Conciliada,DISTRITO FEDERAL,05-10-2016,22-12-2015,Lote de autos,2015_132519,Personal,Imposición del proveedor,Contado,No registrado ante Profeco,OSRO MOTORS,No problema especial,Queja,OSRO MOTORS,0,177334,AUTOMOTRIZ,Turnada a Concil Person p/seg,Servicio normal,Contratos,Centro
93,Servicio,0,Conciliada,DISTRITO FEDERAL,29-08-2016,22-12-2015,Aerolínea comercial,2015_132513,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,INTERJET,No problema especial,Queja,"ABC AEROLINEAS, SA DE CV",0,0,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Centro
94,Bien,10798,Conciliada,DISTRITO FEDERAL,07-07-2016,22-12-2015,Mueblería,2015_132512,Personal,Imposición del proveedor,Contado,Negativa a cambio o devolución,"LA CASA DE LAS LOMAS, SA DE CV",No problema especial,Queja,"LA CASA DE LAS LOMAS, SA DE CV",0,10798,MUEBLERO,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Centro
95,Servicio,0,Conciliada,DISTRITO FEDERAL,01-07-2016,22-12-2015,Empresa de telefonía local,2015_132509,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Centro
96,Servicio,4000,Conciliada,DISTRITO FEDERAL,13-05-2016,22-12-2015,"Editora de periódicos, revistas e imprenta",2015_132520,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,DIANA JOSELYN ROJAS LOPEZ,No problema especial,Queja,DIANA JOSELYN ROJAS LOPEZ,4000,4000,"EDITORA DE PERIÓDICOS, REVISTAS E IMPRENTA",Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
97,Servicio,12760,Conciliada,DISTRITO FEDERAL,02-06-2016,22-12-2015,Ventas por internet,2015_132514,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"BANXOL DE MEXICO, SA DE CV",No problema especial,Queja,"BANXOL DE MEXICO, SA DE CV",12760,12760,VENTAS POR INTERNET,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Centro
98,Bien,175400,Conciliada,DISTRITO FEDERAL,07-06-2016,22-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_138034,Personal,En establecimiento físico,Contado,Defectos de fabricación,"VEHICULOS SANTA FE, SA DE CV",No problema especial,Queja,"VEHICULOS SANTA FE, SA DE CV",175400,175400,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
99,Bien,175400,Conciliada,DISTRITO FEDERAL,07-06-2016,22-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_138034,Personal,En establecimiento físico,Contado,Defectos de fabricación,CHRYSLER,No problema especial,Queja,"CHRYSLER DE MEXICO, SA DE CV",175400,175400,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
100,Bien,5319.35,Conciliada,DISTRITO FEDERAL,09-03-2016,22-12-2015,Tienda departamental,2015_138027,Personal,En establecimiento físico,Plazos,Incumplimiento de plazos para la entrega del prod. o serv.,SANBORNS,No problema especial,Queja,"SANBORN HERMANOS, SA",5319.35,5319.35,TIENDA DEPARTAMENTAL,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
101,Bien,5319.35,Conciliada,DISTRITO FEDERAL,09-03-2016,22-12-2015,Fabricación de electrodomésticos y línea blanca,2015_138027,Personal,En establecimiento físico,Plazos,Incumplimiento de plazos para la entrega del prod. o serv.,SAMSUNG ELECTRONICS,No problema especial,Queja,"SAMSUNG ELECTRONICS MEXICO, SA DE CV",5319.35,5319.35,FABRICACIÓN DE ELECTRODOMÉSTICOS Y LÍNEA BLANCA,Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Poniente
102,Servicio,1499,Conciliada,DISTRITO FEDERAL,18-02-2016,22-12-2015,Tiendas de autoservicio,2015_135856,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,WAL MART,Buen Fin 2015,Queja,"NUEVA WAL MART DE MEXICO, S DE RL DE CV",1499,1499,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,La Villa
103,Bien,750,Conciliada,DISTRITO FEDERAL,18-02-2016,22-12-2015,Joyería,2015_135854,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,JOYERIA BARBIE SURI,No problema especial,Queja,JOYERIA BARBIE SURI,750,750,JOYERÍA,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,La Villa
104,Servicio,51460.5,Conciliada,DISTRITO FEDERAL,19-12-2016,22-12-2015,Empresas de tiempo compartido,2015_139405,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"PLAYAS DE OCCIDENTE, SA DE CV",No problema especial,Queja,"PLAYAS DE OCCIDENTE, SA DE CV",51460.5,8000,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Sur
105,Servicio,51460.5,Conciliada,DISTRITO FEDERAL,19-12-2016,22-12-2015,Empresas de tiempo compartido,2015_139405,Personal,En establecimiento físico,Plazos,Negativa a la rescisión del contrato,"BUGAMBILIAS RESORT VACATION CLUB, SA DE CV",No problema especial,Queja,"BUGAMBILIAS RESORT VACATION CLUB, SA DE CV",51460.5,8000,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Contratos,Sur
106,Bien,182000,Conciliada,DISTRITO FEDERAL,05-10-2016,22-12-2015,Lote de autos,2015_132519,Personal,Imposición del proveedor,Contado,No registrado ante Profeco,OSRO MOTORS,No problema especial,Queja,OSRO MOTORS,0,177334,AUTOMOTRIZ,Turnada a Concil Person p/seg,Servicio normal,Contratos,Centro
107,Servicio,0,Conciliada,DISTRITO FEDERAL,29-08-2016,22-12-2015,Aerolínea comercial,2015_132513,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,INTERJET,No problema especial,Queja,"ABC AEROLINEAS, SA DE CV",0,0,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Centro
108,Bien,10798,Conciliada,DISTRITO FEDERAL,07-07-2016,22-12-2015,Mueblería,2015_132512,Personal,Imposición del proveedor,Contado,Negativa a cambio o devolución,"LA CASA DE LAS LOMAS, SA DE CV",No problema especial,Queja,"LA CASA DE LAS LOMAS, SA DE CV",0,10798,MUEBLERO,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Centro
109,Servicio,0,Conciliada,DISTRITO FEDERAL,01-07-2016,22-12-2015,Empresa de telefonía local,2015_132509,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,TELMEX,No problema especial,Queja,"TELEFONOS DE MEXICO, SAB DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Centro
110,Servicio,4000,Conciliada,DISTRITO FEDERAL,13-05-2016,22-12-2015,"Editora de periódicos, revistas e imprenta",2015_132520,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,DIANA JOSELYN ROJAS LOPEZ,No problema especial,Queja,DIANA JOSELYN ROJAS LOPEZ,4000,4000,"EDITORA DE PERIÓDICOS, REVISTAS E IMPRENTA",Turnada a Concil Person p/seg,Producto nuevo,Entrega del producto o servicio,Centro
111,Servicio,12760,Conciliada,DISTRITO FEDERAL,02-06-2016,22-12-2015,Ventas por internet,2015_132514,Personal,En establecimiento físico,Contado,Negativa a la entrega del producto o servicio,"BANXOL DE MEXICO, SA DE CV",No problema especial,Queja,"BANXOL DE MEXICO, SA DE CV",12760,12760,VENTAS POR INTERNET,Turnada a Concil Person p/seg,Servicio normal,Entrega del producto o servicio,Centro
112,Bien,175400,Conciliada,DISTRITO FEDERAL,07-06-2016,22-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_138034,Personal,En establecimiento físico,Contado,Defectos de fabricación,"VEHICULOS SANTA FE, SA DE CV",No problema especial,Queja,"VEHICULOS SANTA FE, SA DE CV",175400,175400,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
113,Bien,175400,Conciliada,DISTRITO FEDERAL,07-06-2016,22-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_138034,Personal,En establecimiento físico,Contado,Defectos de fabricación,CHRYSLER,No problema especial,Queja,"CHRYSLER DE MEXICO, SA DE CV",175400,175400,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
114,Servicio,1760.86,Conciliada,DISTRITO FEDERAL,20-04-2016,21-12-2015,Empresa de telefonía celular,2015_139395,Personal,En establecimiento físico,Contado,Negativa a corregir errores de cobro,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",No problema especial,Queja,"AT&amp;T; COMERCIALIZACION MOVIL, S DE RL DE CV",678.48,838.68,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
115,Servicio,2440,Conciliada,DISTRITO FEDERAL,06-04-2016,21-12-2015,Suministrador de energía eléctrica,2015_139397,Personal,En establecimiento físico,Contado,Error de cálculo,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,2076,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
116,Bien,10701,Conciliada,DISTRITO FEDERAL,06-04-2016,21-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas usados,2015_132504,Personal,En establecimiento físico,Contado,Negativa a cambio o devolución,"AUTOMOVILISTICA DE MEXICO, SA DE CV",No problema especial,Queja,"AUTOMOVILISTICA DE MEXICO, SA DE CV",10701,10701,AUTOMOTRIZ,Turnada a Concil Person p/seg,Servicio normal,"Cambios, devoluciones o bonificaciones",Centro
117,Servicio,778,Conciliada,DISTRITO FEDERAL,13-04-2016,21-12-2015,Tiendas de autoservicio,2015_132494,Personal,Imposición del proveedor,Contado,Prácticas coercitivas o desleales de venta,COSTCO,No problema especial,Queja,"COSTCO DE MEXICO, SA DE CV",778,778,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Servicio normal,Trato o servicio al cliente,Centro
118,Bien,550,Conciliada,DISTRITO FEDERAL,01-04-2016,21-12-2015,Ferretería y tlapalería,2015_139392,Personal,En establecimiento físico,Contado,Negativa a la devolución de depósito,JULIAN ERNESTO SARABIA JARAMILLO,No problema especial,Queja,JULIAN ERNESTO SARABIA JARAMILLO,550,550,FERRETERÍA Y TLAPALERÍA,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Sur
119,Bien,4850,Conciliada,DISTRITO FEDERAL,08-04-2016,21-12-2015,Óptica,2015_132487,Personal,Imposición del proveedor,Contado,Negativa a hacer efectiva la garantía,IRVING RODRIGUEZ,No problema especial,Queja,IRVING RODRIGUEZ,0,0,ÓPTICA,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Centro
120,Servicio,13000,Conciliada,DISTRITO FEDERAL,30-03-2016,21-12-2015,Suministrador de energía eléctrica,2015_139383,Personal,En establecimiento físico,Contado,Error de cálculo,CFE,No problema especial,Queja,COMISION FEDERAL DE ELECTRICIDAD,0,0,ELECTRICIDAD,Turnada a Concil Person p/seg,Servicio normal,Cobro indebido,Sur
121,Bien,17721,Conciliada,DISTRITO FEDERAL,05-04-2016,21-12-2015,Mueblería,2015_132495,Personal,Imposición del proveedor,Contado,Negativa a cambio o devolución,DEUROPE MUEBLES,No problema especial,Queja,"TABOAZAS, SA DE CV",0,0,MUEBLERO,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Centro
122,Servicio,1450,Conciliada,DISTRITO FEDERAL,28-03-2016,21-12-2015,Aerolínea comercial,2015_139394,Personal,En establecimiento físico,Contado,Negativa a pago por pérdida del producto,MAGNICHARTER,No problema especial,Queja,"GRUPO AEREO MONTERREY, SA DE CV",0,1450,TURÍSTICO,Turnada a Concil Person p/seg,Servicio normal,Pérdidas o deterioro,Sur
123,Bien,3299,Conciliada,DISTRITO FEDERAL,16-03-2016,21-12-2015,Tiendas de autoservicio,2015_137680,Personal,En establecimiento físico,Contado,Negativa a cambio o devolución,SORIANA,No problema especial,Queja,"TIENDAS SORIANA, SA DE CV",3299,3299,TIENDAS DE AUTOSERVICIO,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Oriente
124,Bien,3299,Conciliada,DISTRITO FEDERAL,16-03-2016,21-12-2015,Taller de reparación y mantenimiento de equipo electrónico,2015_137680,Personal,En establecimiento físico,Contado,Negativa a cambio o devolución,"MUSA DEL PACIFICO, SA DE CV",No problema especial,Queja,"MUSA DEL PACIFICO, SA DE CV",3299,3299,TALLER DE REPARACIÓN Y MANTENIMIENTO DE EQUIPO ELECTRÓNICO,Turnada a Concil Person p/seg,Producto nuevo,"Cambios, devoluciones o bonificaciones",Oriente
125,Bien,262000,Conciliada,DISTRITO FEDERAL,26-02-2016,21-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_132489,Personal,Imposición del proveedor,Contado,Defectos de fabricación,"SONI UNIVERSIDAD, SA DE CV",No problema especial,Queja,"SONI UNIVERSIDAD, SA DE CV",131000,131000,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Centro
126,Bien,262000,Conciliada,DISTRITO FEDERAL,26-02-2016,21-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas usados,2015_132489,Personal,Imposición del proveedor,Contado,Defectos de fabricación,NISSAN,No problema especial,Queja,"NISSAN MEXICANA, SA DE CV",131000,131000,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Centro
127,Bien,0,Conciliada,DISTRITO FEDERAL,25-02-2016,21-12-2015,Fabricación de maquinaria,2015_134216,Correo Electrónico,Por internet,Contado,Descripción del producto o servicio-Info no clara,"TORTIMAQ Y DISEÑO, S DE RL",No problema especial,Queja,"TORTIMAQ Y DISEÑO, S DE RL",0,14950.24,FABRICACIÓN DE MAQUINARIA,Turnada a Concil Resi p/ segui,Producto nuevo,Información no clara al consumidor sobre el producto o servicio,Dirección de Conciliación y Pr
128,Bien,5999,Conciliada,DISTRITO FEDERAL,08-03-2016,21-12-2015,Empresa de telefonía celular,2015_138025,Personal,En establecimiento físico,Contado,Defectos de fabricación,MOVISTAR,No problema especial,Queja,"PEGASO PCS, SA DE CV",0,0,TELECOMUNICACIONES,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
129,Bien,5999,Conciliada,DISTRITO FEDERAL,08-03-2016,21-12-2015,Tienda departamental,2015_138025,Personal,En establecimiento físico,Contado,Defectos de fabricación,COPPEL,No problema especial,Queja,"COPPEL, SA DE CV",0,0,TIENDA DEPARTAMENTAL,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
130,Bien,202700,Conciliada,DISTRITO FEDERAL,08-03-2016,21-12-2015,Agencia automotriz y concesionaria de automóviles y camionetas nuevos,2015_138017,Personal,En establecimiento físico,Plazos,Defectos de fabricación,FORD SATELITE,No problema especial,Queja,"VEHICULOS Y SERVICIOS SATELITE, SA DE CV",0,0,AUTOMOTRIZ,Turnada a Concil Person p/seg,Producto nuevo,Garantías,Poniente
